ID_Origen,ID_Destino,Costo,Via
A_37,A_73,627,Via Principal
A_67,A_74,1055,Via Principal
A_48,A_75,1315,Via Principal
A_2,A_76,260,Via Principal
A_27,A_77,646,Via Principal
A_11,A_78,978,Via Principal
A_69,A_79,1172,Via Principal
A_46,A_80,845,Via Principal
A_58,A_81,134,Via Principal
A_6,A_82,613,Via Principal
A_33,A_83,846,Via Principal
A_51,A_84,83,Via Principal
A_38,A_85,580,Via Principal
A_46,A_86,1209,Via Principal
A_75,A_87,854,Via Principal
A_38,A_88,991,Via Principal
A_15,A_89,1258,Via Principal
A_2,A_90,1114,Via Principal
A_45,A_91,972,Via Principal
A_45,A_92,580,Via Principal
A_83,A_93,1217,Via Principal
A_48,A_94,1599,Via Principal
A_16,A_95,403,Via Principal
A_67,A_96,652,Via Principal
A_90,A_97,1060,Via Principal
A_45,A_98,433,Via Principal
A_64,A_99,631,Via Principal
A_79,A_100,676,Via Principal
A_40,B_1,296,Via Principal
A_32,B_2,1302,Via Principal
A_40,B_3,198,Via Principal
A_2,B_4,706,Via Principal
A_59,B_5,368,Via Principal
A_25,B_6,1089,Via Principal
A_5,B_7,765,Via Principal
A_83,B_8,907,Via Principal
A_55,B_9,446,Via Principal
A_81,B_10,93,Via Principal
A_32,B_11,1085,Via Principal
A_35,B_12,475,Via Principal
A_74,B_13,1190,Via Principal
A_88,B_14,164,Via Principal
A_42,B_15,1056,Via Principal
A_2,B_16,546,Via Principal
A_57,B_17,247,Via Principal
A_27,B_18,1226,Via Principal
A_2,B_19,754,Via Principal
A_27,B_20,1498,Via Principal
A_84,B_21,918,Via Principal
A_26,B_22,1028,Via Principal
A_38,B_23,565,Via Principal
A_58,B_24,211,Via Principal
A_27,B_25,1213,Via Principal
A_58,B_26,454,Via Principal
A_74,B_27,1002,Via Principal
A_15,B_28,295,Via Principal
B_15,B_29,801,Via Principal
A_40,B_30,827,Via Principal
B_2,B_31,844,Via Principal
B_17,B_32,77,Via Principal
A_13,B_33,1242,Via Principal
B_8,B_34,318,Via Principal
A_77,B_35,860,Via Principal
A_62,B_36,822,Via Principal
A_43,B_37,244,Via Principal
B_30,B_38,774,Via Principal
A_38,B_39,648,Via Principal
A_75,B_40,521,Via Principal
B_14,B_41,203,Via Principal
A_11,B_42,1308,Via Principal
A_61,B_43,1105,Via Principal
A_77,B_44,1285,Via Principal
B_17,B_45,221,Via Principal
A_47,B_46,370,Via Principal
B_41,B_47,672,Via Principal
A_86,B_48,100,Via Principal
B_17,B_49,341,Via Principal
B_10,B_50,228,Via Principal
B_10,B_51,409,Via Principal
A_37,B_52,266,Via Principal
A_6,B_53,1092,Via Principal
A_2,B_54,408,Via Principal
B_39,B_55,818,Via Principal
B_45,B_56,394,Via Principal
B_3,B_57,853,Via Principal
A_38,B_58,493,Via Principal
B_55,B_59,759,Via Principal
A_6,B_60,347,Via Principal
A_99,B_61,1006,Via Principal
B_1,B_62,98,Via Principal
A_48,B_63,1296,Via Principal
B_5,B_64,888,Via Principal
B_2,B_65,1493,Via Principal
A_95,B_66,387,Via Principal
A_42,B_67,325,Via Principal
A_32,B_68,807,Via Principal
B_21,B_69,710,Via Principal
A_63,B_70,746,Via Principal
A_71,B_71,1153,Via Principal
A_7,B_72,745,Via Principal
A_75,B_73,313,Via Principal
A_47,B_74,882,Via Principal
B_15,B_75,670,Via Principal
A_75,B_76,600,Via Principal
A_72,B_77,504,Via Principal
B_55,B_78,745,Via Principal
B_23,B_79,7,Via Principal
B_78,B_80,865,Via Principal
B_61,B_81,553,Via Principal
B_49,B_82,303,Via Principal
A_6,B_83,648,Via Principal
B_52,B_84,734,Via Principal
B_3,B_85,441,Via Principal
A_19,B_86,1048,Via Principal
B_68,B_87,697,Via Principal
B_18,B_88,1366,Via Principal
A_23,B_89,1255,Via Principal
A_23,B_90,387,Via Principal
B_80,B_91,1031,Via Principal
B_4,B_92,731,Via Principal
A_75,B_93,229,Via Principal
A_58,B_94,1024,Via Principal
B_64,B_95,1151,Via Principal
A_7,B_96,1285,Via Principal
B_2,B_97,912,Via Principal
A_15,B_98,627,Via Principal
A_29,B_99,493,Via Principal
B_17,B_100,216,Via Principal
A_100,C_1,239,Via Principal
B_53,C_2,858,Via Principal
A_20,C_3,822,Via Principal
A_24,C_4,1115,Via Principal
A_72,C_5,902,Via Principal
A_34,C_6,1065,Via Principal
B_33,C_7,463,Via Principal
A_88,C_8,312,Via Principal
B_73,C_9,452,Via Principal
A_98,C_10,792,Via Principal
B_74,C_11,584,Via Principal
B_45,C_12,1225,Via Principal
A_2,C_13,627,Via Principal
A_64,C_14,443,Via Principal
A_38,C_15,705,Via Principal
A_95,C_16,1120,Via Principal
B_74,C_17,709,Via Principal
A_5,C_18,1228,Via Principal
B_100,C_19,761,Via Principal
B_23,C_20,422,Via Principal
A_71,C_21,1475,Via Principal
A_67,C_22,866,Via Principal
A_100,C_23,607,Via Principal
B_18,C_24,705,Via Principal
B_42,C_25,647,Via Principal
B_2,C_26,612,Via Principal
A_72,C_27,925,Via Principal
C_24,C_28,755,Via Principal
C_1,C_29,1335,Via Principal
A_16,C_30,441,Via Principal
B_69,C_31,169,Via Principal
B_91,C_32,716,Via Principal
A_11,C_33,1517,Via Principal
A_72,C_34,835,Via Principal
C_3,C_35,799,Via Principal
C_9,C_36,513,Via Principal
B_15,C_37,685,Via Principal
A_27,C_38,1177,Via Principal
B_82,C_39,1032,Via Principal
A_58,C_40,1220,Via Principal
C_5,C_41,801,Via Principal
B_17,C_42,250,Via Principal
A_16,C_43,1202,Via Principal
B_6,C_44,279,Via Principal
A_29,C_45,974,Via Principal
A_10,C_46,277,Via Principal
B_25,C_47,340,Via Principal
C_17,C_48,223,Via Principal
A_95,C_49,1131,Via Principal
A_12,C_50,586,Via Principal
C_32,C_51,1180,Via Principal
C_44,C_52,972,Via Principal
C_25,C_53,94,Via Principal
A_42,C_54,675,Via Principal
A_99,C_55,791,Via Principal
B_51,C_56,327,Via Principal
A_32,C_57,174,Via Principal
A_2,C_58,582,Via Principal
A_9,C_59,766,Via Principal
A_7,C_60,442,Via Principal
B_86,C_61,836,Via Principal
B_78,C_62,577,Via Principal
C_53,C_63,222,Via Principal
C_30,C_64,320,Via Principal
A_63,C_65,1350,Via Principal
A_80,C_66,1332,Via Principal
A_45,C_67,440,Via Principal
C_16,C_68,505,Via Principal
B_72,C_69,274,Via Principal
C_7,C_70,838,Via Principal
B_54,C_71,458,Via Principal
B_49,C_72,587,Via Principal
B_37,C_73,1044,Via Principal
B_86,C_74,301,Via Principal
B_92,C_75,625,Via Principal
B_64,C_76,1015,Via Principal
B_88,C_77,184,Via Principal
C_7,C_78,748,Via Principal
B_61,C_79,741,Via Principal
B_24,C_80,758,Via Principal
A_42,C_81,541,Via Principal
B_42,C_82,187,Via Principal
B_45,C_83,918,Via Principal
B_83,C_84,346,Via Principal
B_60,C_85,285,Via Principal
C_83,C_86,1171,Via Principal
B_90,C_87,463,Via Principal
B_23,C_88,776,Via Principal
C_45,C_89,989,Via Principal
C_33,C_90,768,Via Principal
A_70,C_91,1388,Via Principal
C_86,C_92,997,Via Principal
B_74,C_93,671,Via Principal
A_96,C_94,655,Via Principal
C_25,C_95,530,Via Principal
C_43,C_96,174,Via Principal
B_95,C_97,1194,Via Principal
C_25,C_98,357,Via Principal
C_33,C_99,944,Via Principal
B_62,C_100,656,Via Principal
C_41,D_1,1158,Via Principal
A_44,D_2,879,Via Principal
B_7,D_3,827,Via Principal
C_17,D_4,798,Via Principal
A_19,D_5,247,Via Principal
C_10,D_6,737,Via Principal
C_69,D_7,683,Via Principal
A_24,D_8,954,Via Principal
C_80,D_9,149,Via Principal
A_68,D_10,608,Via Principal
C_13,D_11,849,Via Principal
B_95,D_12,1214,Via Principal
C_36,D_13,671,Via Principal
C_35,D_14,1009,Via Principal
B_53,D_15,1504,Via Principal
C_74,D_16,755,Via Principal
C_14,D_17,254,Via Principal
B_38,D_18,436,Via Principal
A_39,D_19,387,Via Principal
A_57,D_20,1122,Via Principal
A_15,D_21,562,Via Principal
A_69,D_22,765,Via Principal
B_79,D_23,480,Via Principal
C_22,D_24,469,Via Principal
A_54,D_25,537,Via Principal
A_44,D_26,528,Via Principal
A_16,D_27,905,Via Principal
D_9,D_28,1109,Via Principal
B_14,D_29,660,Via Principal
B_61,D_30,437,Via Principal
C_39,D_31,1007,Via Principal
C_91,D_32,1078,Via Principal
B_77,D_33,100,Via Principal
A_96,D_34,515,Via Principal
A_99,D_35,793,Via Principal
C_38,D_36,740,Via Principal
A_8,D_37,528,Via Principal
A_78,D_38,1341,Via Principal
C_30,D_39,524,Via Principal
A_24,D_40,755,Via Principal
C_51,D_41,551,Via Principal
C_56,D_42,590,Via Principal
B_6,D_43,1009,Via Principal
B_26,D_44,442,Via Principal
A_7,D_45,876,Via Principal
C_79,D_46,695,Via Principal
B_54,D_47,636,Via Principal
C_64,D_48,1110,Via Principal
A_96,D_49,437,Via Principal
C_74,D_50,602,Via Principal
A_74,D_51,1048,Via Principal
A_78,D_52,909,Via Principal
C_100,D_53,1350,Via Principal
B_69,D_54,1313,Via Principal
C_66,D_55,1211,Via Principal
C_84,D_56,568,Via Principal
D_31,D_57,1096,Via Principal
A_64,D_58,396,Via Principal
C_75,D_59,602,Via Principal
B_12,D_60,179,Via Principal
A_96,D_61,571,Via Principal
A_12,D_62,336,Via Principal
A_36,D_63,550,Via Principal
B_14,D_64,902,Via Principal
B_99,D_65,277,Via Principal
A_9,D_66,729,Via Principal
D_63,D_67,588,Via Principal
C_9,D_68,856,Via Principal
A_22,D_69,943,Via Principal
D_42,D_70,1113,Via Principal
D_9,D_71,783,Via Principal
C_49,D_72,911,Via Principal
A_10,D_73,626,Via Principal
C_61,D_74,1046,Via Principal
D_21,D_75,357,Via Principal
A_29,D_76,211,Via Principal
A_76,D_77,582,Via Principal
B_97,D_78,587,Via Principal
B_68,D_79,199,Via Principal
A_98,D_80,922,Via Principal
C_23,D_81,426,Via Principal
D_73,D_82,826,Via Principal
C_68,D_83,1035,Via Principal
B_39,D_84,723,Via Principal
C_46,D_85,331,Via Principal
B_83,D_86,1113,Via Principal
C_26,D_87,611,Via Principal
D_6,D_88,858,Via Principal
A_60,D_89,956,Via Principal
A_25,D_90,887,Via Principal
C_11,D_91,1383,Via Principal
A_22,D_92,996,Via Principal
B_16,D_93,1171,Via Principal
C_18,D_94,951,Via Principal
D_34,D_95,943,Via Principal
B_57,D_96,501,Via Principal
B_35,D_97,608,Via Principal
B_3,D_98,462,Via Principal
B_100,D_99,351,Via Principal
B_35,D_100,1447,Via Principal
D_11,E_1,392,Via Principal
C_71,E_2,310,Via Principal
A_52,E_3,675,Via Principal
D_76,E_4,682,Via Principal
E_4,E_5,584,Via Principal
B_58,E_6,708,Via Principal
A_69,E_7,426,Via Principal
D_59,E_8,343,Via Principal
A_65,E_9,841,Via Principal
A_69,E_10,640,Via Principal
C_45,E_11,1378,Via Principal
A_83,E_12,1131,Via Principal
A_62,E_13,136,Via Principal
D_64,E_14,776,Via Principal
C_18,E_15,905,Via Principal
A_65,E_16,920,Via Principal
C_5,E_17,564,Via Principal
A_25,E_18,948,Via Principal
C_9,E_19,490,Via Principal
D_8,E_20,1178,Via Principal
B_61,E_21,366,Via Principal
D_69,E_22,1065,Via Principal
C_99,E_23,741,Via Principal
B_22,E_24,1291,Via Principal
D_51,E_25,849,Via Principal
E_23,E_26,299,Via Principal
E_4,E_27,1500,Via Principal
C_4,E_28,1029,Via Principal
A_62,E_29,944,Via Principal
A_25,E_30,564,Via Principal
A_41,E_31,294,Via Principal
C_72,E_32,1053,Via Principal
C_84,E_33,579,Via Principal
C_72,E_34,1397,Via Principal
D_74,E_35,660,Via Principal
D_69,E_36,601,Via Principal
B_87,E_37,234,Via Principal
C_25,E_38,556,Via Principal
A_96,E_39,574,Via Principal
A_76,E_40,455,Via Principal
D_71,E_41,125,Via Principal
B_99,E_42,254,Via Principal
C_86,E_43,554,Via Principal
D_73,E_44,680,Via Principal
C_21,E_45,1537,Via Principal
B_33,E_46,249,Via Principal
E_17,E_47,1196,Via Principal
B_27,E_48,414,Via Principal
C_73,E_49,862,Via Principal
E_9,E_50,689,Via Principal
E_5,E_51,495,Via Principal
B_41,E_52,469,Via Principal
E_43,E_53,890,Via Principal
C_76,E_54,1078,Via Principal
B_4,E_55,710,Via Principal
D_49,E_56,218,Via Principal
B_44,E_57,828,Via Principal
C_31,E_58,427,Via Principal
A_15,E_59,590,Via Principal
A_90,E_60,862,Via Principal
D_16,E_61,163,Via Principal
C_73,E_62,507,Via Principal
C_68,E_63,881,Via Principal
A_70,E_64,118,Via Principal
A_32,E_65,410,Via Principal
E_52,E_66,335,Via Principal
D_37,E_67,311,Via Principal
C_58,E_68,638,Via Principal
B_47,E_69,939,Via Principal
B_89,E_70,502,Via Principal
C_3,E_71,797,Via Principal
B_65,E_72,1130,Via Principal
C_64,E_73,178,Via Principal
D_80,E_74,535,Via Principal
C_3,E_75,814,Via Principal
C_42,E_76,953,Via Principal
B_19,E_77,381,Via Principal
D_43,E_78,777,Via Principal
B_69,E_79,530,Via Principal
E_25,E_80,907,Via Principal
C_88,E_81,141,Via Principal
A_62,E_82,260,Via Principal
B_15,E_83,1332,Via Principal
B_19,E_84,985,Via Principal
C_66,E_85,760,Via Principal
A_98,E_86,214,Via Principal
D_37,E_87,339,Via Principal
B_4,E_88,206,Via Principal
E_25,E_89,1113,Via Principal
E_29,E_90,794,Via Principal
D_66,E_91,665,Via Principal
E_29,E_92,1527,Via Principal
B_15,E_93,668,Via Principal
C_10,E_94,682,Via Principal
B_20,E_95,1123,Via Principal
C_26,E_96,188,Via Principal
B_25,E_97,1509,Via Principal
E_27,E_98,1255,Via Principal
C_8,E_99,476,Via Principal
D_16,E_100,648,Via Principal
E_11,F_1,1408,Via Principal
E_72,F_2,270,Via Principal
E_65,F_3,716,Via Principal
A_31,F_4,701,Via Principal
E_40,F_5,1062,Via Principal
D_54,F_6,763,Via Principal
B_88,F_7,549,Via Principal
E_27,F_8,571,Via Principal
B_76,F_9,920,Via Principal
D_72,F_10,1012,Via Principal
B_70,F_11,294,Via Principal
E_87,F_12,1101,Via Principal
B_60,F_13,610,Via Principal
A_91,F_14,200,Via Principal
E_40,F_15,991,Via Principal
E_98,F_16,961,Via Principal
A_22,F_17,817,Via Principal
C_13,F_18,421,Via Principal
E_31,F_19,251,Via Principal
C_85,F_20,802,Via Principal
E_84,F_21,440,Via Principal
A_59,F_22,875,Via Principal
C_50,F_23,911,Via Principal
D_44,F_24,624,Via Principal
D_12,F_25,168,Via Principal
C_46,F_26,206,Via Principal
B_82,F_27,825,Via Principal
E_2,F_28,838,Via Principal
E_4,F_29,1013,Via Principal
A_5,F_30,427,Via Principal
E_39,F_31,686,Via Principal
D_61,F_32,1433,Via Principal
C_78,F_33,584,Via Principal
B_91,F_34,747,Via Principal
C_71,F_35,699,Via Principal
E_39,F_36,632,Via Principal
B_29,F_37,460,Via Principal
D_84,F_38,381,Via Principal
E_35,F_39,255,Via Principal
C_86,F_40,1134,Via Principal
A_25,F_41,1209,Via Principal
D_40,F_42,740,Via Principal
B_11,F_43,140,Via Principal
A_43,F_44,367,Via Principal
B_44,F_45,580,Via Principal
A_3,F_46,215,Via Principal
D_84,F_47,709,Via Principal
B_26,F_48,677,Via Principal
B_84,F_49,504,Via Principal
A_44,F_50,333,Via Principal
C_10,F_51,461,Via Principal
C_58,F_52,489,Via Principal
C_84,F_53,341,Via Principal
F_24,F_54,524,Via Principal
E_91,F_55,879,Via Principal
F_50,F_56,958,Via Principal
A_4,F_57,688,Via Principal
C_28,F_58,965,Via Principal
B_54,F_59,307,Via Principal
B_56,F_60,611,Via Principal
E_66,F_61,469,Via Principal
F_10,F_62,946,Via Principal
B_51,F_63,512,Via Principal
D_17,F_64,1173,Via Principal
C_77,F_65,786,Via Principal
F_22,F_66,562,Via Principal
E_68,F_67,819,Via Principal
A_49,F_68,978,Via Principal
B_45,F_69,260,Via Principal
E_13,F_70,464,Via Principal
D_34,F_71,888,Via Principal
C_41,F_72,898,Via Principal
A_30,F_73,543,Via Principal
C_97,F_74,731,Via Principal
A_3,F_75,420,Via Principal
B_65,F_76,609,Via Principal
A_9,F_77,458,Via Principal
D_65,F_78,353,Via Principal
A_73,F_79,986,Via Principal
E_79,F_80,374,Via Principal
A_49,F_81,662,Via Principal
C_21,F_82,1699,Via Principal
E_55,F_83,296,Via Principal
E_5,F_84,698,Via Principal
A_3,F_85,1053,Via Principal
F_39,F_86,525,Via Principal
F_5,F_87,1156,Via Principal
B_8,F_88,1055,Via Principal
D_99,F_89,304,Via Principal
B_79,F_90,449,Via Principal
B_3,F_91,654,Via Principal
E_5,F_92,806,Via Principal
A_24,F_93,789,Via Principal
E_90,F_94,329,Via Principal
C_30,F_95,585,Via Principal
A_2,F_96,567,Via Principal
E_61,F_97,691,Via Principal
F_36,F_98,811,Via Principal
C_45,F_99,768,Via Principal
D_30,F_100,935,Via Principal
B_33,G_1,149,Via Principal
E_32,G_2,1640,Via Principal
E_7,G_3,599,Via Principal
A_45,G_4,378,Via Principal
E_6,G_5,637,Via Principal
B_46,G_6,259,Via Principal
C_47,G_7,1080,Via Principal
C_88,G_8,886,Via Principal
C_15,G_9,765,Via Principal
D_49,G_10,675,Via Principal
E_87,G_11,855,Via Principal
D_72,G_12,886,Via Principal
E_97,G_13,685,Via Principal
C_98,G_14,985,Via Principal
G_8,G_15,633,Via Principal
B_10,G_16,631,Via Principal
F_54,G_17,602,Via Principal
F_50,G_18,416,Via Principal
D_21,G_19,764,Via Principal
C_87,G_20,403,Via Principal
D_81,G_21,805,Via Principal
E_78,G_22,368,Via Principal
C_37,G_23,586,Via Principal
E_87,G_24,409,Via Principal
E_28,G_25,525,Via Principal
F_47,G_26,885,Via Principal
C_90,G_27,127,Via Principal
E_21,G_28,452,Via Principal
C_3,G_29,779,Via Principal
D_16,G_30,308,Via Principal
F_80,G_31,832,Via Principal
D_72,G_32,621,Via Principal
G_3,G_33,640,Via Principal
A_21,G_34,809,Via Principal
E_61,G_35,968,Via Principal
E_4,G_36,1064,Via Principal
D_71,G_37,991,Via Principal
D_63,G_38,626,Via Principal
F_8,G_39,415,Via Principal
C_55,G_40,728,Via Principal
E_59,G_41,240,Via Principal
F_46,G_42,1000,Via Principal
E_92,G_43,229,Via Principal
B_53,G_44,1602,Via Principal
F_94,G_45,161,Via Principal
A_15,G_46,587,Via Principal
F_8,G_47,519,Via Principal
F_75,G_48,877,Via Principal
E_3,G_49,284,Via Principal
D_24,G_50,240,Via Principal
E_55,G_51,191,Via Principal
C_94,G_52,813,Via Principal
C_50,G_53,733,Via Principal
E_28,G_54,733,Via Principal
F_53,G_55,681,Via Principal
C_92,G_56,192,Via Principal
F_7,G_57,569,Via Principal
C_24,G_58,642,Via Principal
F_89,G_59,873,Via Principal
C_87,G_60,538,Via Principal
B_100,G_61,692,Via Principal
E_67,G_62,543,Via Principal
C_9,G_63,536,Via Principal
F_83,G_64,464,Via Principal
C_75,G_65,827,Via Principal
C_15,G_66,365,Via Principal
A_1,G_67,816,Via Principal
G_44,G_68,814,Via Principal
E_71,G_69,1221,Via Principal
F_37,G_70,502,Via Principal
A_35,G_71,1314,Via Principal
G_47,G_72,355,Via Principal
E_76,G_73,1087,Via Principal
E_51,G_74,692,Via Principal
C_43,G_75,716,Via Principal
E_38,G_76,785,Via Principal
E_39,G_77,1029,Via Principal
F_30,G_78,915,Via Principal
A_79,G_79,910,Via Principal
C_21,G_80,1008,Via Principal
A_85,G_81,571,Via Principal
D_32,G_82,473,Via Principal
F_42,G_83,970,Via Principal
E_82,G_84,318,Via Principal
D_36,G_85,692,Via Principal
E_77,G_86,1256,Via Principal
B_40,G_87,869,Via Principal
E_57,G_88,246,Via Principal
D_24,G_89,1175,Via Principal
D_68,G_90,624,Via Principal
G_27,G_91,298,Via Principal
C_83,G_92,506,Via Principal
A_58,G_93,616,Via Principal
D_30,G_94,861,Via Principal
C_100,G_95,1486,Via Principal
E_57,G_96,766,Via Principal
G_7,G_97,973,Via Principal
E_12,G_98,949,Via Principal
B_75,G_99,383,Via Principal
F_72,G_100,338,Via Principal
F_48,H_1,350,Via Principal
D_40,H_2,133,Via Principal
F_45,H_3,526,Via Principal
E_40,H_4,1181,Via Principal
E_68,H_5,1009,Via Principal
E_37,H_6,362,Via Principal
F_63,H_7,251,Via Principal
A_39,H_8,1102,Via Principal
F_57,H_9,993,Via Principal
C_76,H_10,1109,Via Principal
B_42,H_11,1147,Via Principal
G_70,H_12,875,Via Principal
E_70,H_13,102,Via Principal
F_26,H_14,709,Via Principal
E_14,H_15,398,Via Principal
G_49,H_16,675,Via Principal
F_59,H_17,902,Via Principal
G_72,H_18,882,Via Principal
D_59,H_19,686,Via Principal
A_96,H_20,645,Via Principal
G_32,H_21,590,Via Principal
E_46,H_22,697,Via Principal
E_42,H_23,396,Via Principal
E_26,H_24,714,Via Principal
E_91,H_25,531,Via Principal
E_39,H_26,83,Via Principal
C_76,H_27,582,Via Principal
F_16,H_28,257,Via Principal
D_45,H_29,425,Via Principal
D_10,H_30,559,Via Principal
C_74,H_31,939,Via Principal
G_40,H_32,389,Via Principal
C_78,H_33,329,Via Principal
B_48,H_34,993,Via Principal
D_32,H_35,672,Via Principal
F_52,H_36,281,Via Principal
A_83,H_37,411,Via Principal
C_16,H_38,609,Via Principal
D_78,H_39,858,Via Principal
F_66,H_40,488,Via Principal
F_45,H_41,517,Via Principal
A_98,H_42,332,Via Principal
B_64,H_43,633,Via Principal
C_9,H_44,862,Via Principal
G_55,H_45,303,Via Principal
H_41,H_46,326,Via Principal
D_11,H_47,382,Via Principal
G_67,H_48,1030,Via Principal
D_60,H_49,1039,Via Principal
A_16,H_50,1317,Via Principal
G_66,H_51,298,Via Principal
B_21,H_52,388,Via Principal
F_64,H_53,894,Via Principal
D_82,H_54,1242,Via Principal
D_72,H_55,428,Via Principal
A_78,H_56,655,Via Principal
F_33,H_57,455,Via Principal
G_43,H_58,1403,Via Principal
D_90,H_59,1024,Via Principal
E_42,H_60,668,Via Principal
A_7,H_61,1053,Via Principal
F_25,H_62,371,Via Principal
F_83,H_63,830,Via Principal
A_46,H_64,1340,Via Principal
B_77,H_65,444,Via Principal
H_18,H_66,555,Via Principal
F_56,H_67,109,Via Principal
B_73,H_68,270,Via Principal
F_48,H_69,1089,Via Principal
B_6,H_70,1167,Via Principal
G_20,H_71,309,Via Principal
E_42,H_72,1252,Via Principal
A_85,H_73,941,Via Principal
C_83,H_74,907,Via Principal
G_2,H_75,600,Via Principal
B_40,H_76,237,Via Principal
D_53,H_77,1052,Via Principal
F_18,H_78,495,Via Principal
F_54,H_79,536,Via Principal
G_67,H_80,1003,Via Principal
F_49,H_81,733,Via Principal
D_91,H_82,141,Via Principal
F_40,H_83,640,Via Principal
B_94,H_84,1249,Via Principal
B_32,H_85,338,Via Principal
E_1,H_86,1023,Via Principal
F_19,H_87,914,Via Principal
A_60,H_88,1042,Via Principal
C_99,H_89,825,Via Principal
D_13,H_90,1466,Via Principal
C_9,H_91,1025,Via Principal
D_29,H_92,1531,Via Principal
F_17,H_93,424,Via Principal
C_75,H_94,736,Via Principal
D_7,H_95,1244,Via Principal
E_16,H_96,359,Via Principal
E_79,H_97,913,Via Principal
E_59,H_98,994,Via Principal
D_96,H_99,810,Via Principal
G_64,H_100,641,Via Principal
F_16,I_1,1046,Via Principal
B_66,I_2,536,Via Principal
H_2,I_3,703,Via Principal
C_89,I_4,1090,Via Principal
F_73,I_5,1111,Via Principal
B_68,I_6,390,Via Principal
C_46,I_7,306,Via Principal
B_6,I_8,1508,Via Principal
H_45,I_9,955,Via Principal
G_51,I_10,1079,Via Principal
D_30,I_11,1125,Via Principal
D_71,I_12,654,Via Principal
C_69,I_13,590,Via Principal
B_94,I_14,960,Via Principal
D_50,I_15,624,Via Principal
E_46,I_16,318,Via Principal
H_22,I_17,1131,Via Principal
E_87,I_18,1081,Via Principal
D_11,I_19,861,Via Principal
F_50,I_20,384,Via Principal
A_44,I_21,68,Via Principal
H_85,I_22,328,Via Principal
H_61,I_23,674,Via Principal
H_39,I_24,987,Via Principal
C_91,I_25,1269,Via Principal
H_40,I_26,735,Via Principal
E_2,I_27,319,Via Principal
H_91,I_28,195,Via Principal
D_35,I_29,191,Via Principal
E_43,I_30,543,Via Principal
A_95,I_31,681,Via Principal
C_34,I_32,655,Via Principal
I_1,I_33,1043,Via Principal
A_55,I_34,264,Via Principal
G_36,I_35,384,Via Principal
H_1,I_36,506,Via Principal
D_37,I_37,1082,Via Principal
G_33,I_38,732,Via Principal
H_7,I_39,395,Via Principal
D_30,I_40,552,Via Principal
H_94,I_41,624,Via Principal
B_68,I_42,820,Via Principal
G_17,I_43,729,Via Principal
E_90,I_44,268,Via Principal
F_67,I_45,1005,Via Principal
F_69,I_46,219,Via Principal
H_55,I_47,810,Via Principal
D_55,I_48,268,Via Principal
A_4,I_49,1323,Via Principal
D_32,I_50,600,Via Principal
H_27,I_51,782,Via Principal
D_65,I_52,966,Via Principal
D_55,I_53,1214,Via Principal
B_27,I_54,1028,Via Principal
G_22,I_55,825,Via Principal
F_70,I_56,565,Via Principal
A_48,I_57,627,Via Principal
A_33,I_58,677,Via Principal
A_85,I_59,273,Via Principal
G_40,I_60,1298,Via Principal
A_72,I_61,449,Via Principal
G_21,I_62,821,Via Principal
